Model,Binary / Multi,Time Stamp,Min Val Dice Loss,Val mIoU at min dice,Epochs Achieved,Augmentation
Att UNet,Multi,20200614-082536,0.6241,0.3401,40,None
Att UNet,Multi,20200614-101522,0.6209,0.3234,40,None
Att UNet,Multi,20200614-120338,0.6432,0.3856,40,None
Att UNet,Binary,20200614-230455,0.7274,0.5432,40,None
Att UNet,Binary,20200615-004724,0.7264,0.5351,40,None
Att UNet,Binary,20200615-022945,0.73,0.5364,40,None
Att UNet,Multi,20200614-135202,0.6794,0.3283,40,Random Crop
Att UNet,Multi,20200614-154020,0.6234,0.3833,40,Random Crop
Att UNet,Multi,20200614-172856,0.6103,0.3401,40,Random Crop
Att UNet,Binary,20200615-041148,0.7288,0.5428,40,Random Crop
Att UNet,Binary,20200615-055409,0.735,0.5447,40,Random Crop
Att UNet,Binary,20200615-073646,0.7284,0.5401,40,Random Crop
Tiramisu,Binary,20200618-163925,0.9106,0.5819,40,Random Crop
Tiramisu,Binary,20200618-184956,0.8886,0.6875,40,None
Tiramisu,Multi,20200616-073339,0.3088,0.07477,40,Random Crop
Tiramisu,Multi,,0.2573,0.0049,40,None
UNet,Multi,20200608-213235,0.834,0.5725,40,None
UNet,Multi,20200613-164519,0.8379,0.578,40,None
UNet,Multi,20200615-002435,0.8318,0.5791,40,None
UNet,Multi,20200616-182412,0.8442,0.5785,33,None
UNet,Multi,20200617-200122,0.8422,0.5737,36,None
UNet,Multi,20200609-125844,0.8181,0.5758,40,Random Crop
UNet,Multi,20200614-024348,0.8419,0.5722,40,Random Crop
UNet,Multi,20200615-032143,0.7984,0.5251,40,Random Crop
UNet,Multi,20200616-212209,0.8605,0.5902,30,Random Crop
UNet,Multi,20200617-231017,0.84,0.5727,38,Random Crop
UNet,Binary,20200618-001108,0.7414,0.5501,40,None
UNet,Binary,20200618-144946,0.782,0.585,40,Random Crop
UNet++,Multi,20200609-090138,0.849,0.5901,40,None
UNet++,Multi,20200616-131156,0.8423,0.5837,37,None
UNet++,Multi,20200616-192105,0.8047,0.5156,40,None
UNet++,Multi,20200618-042706,0.8352,0.579,39,None
UNet++,Multi,20200609-181114,0.7985,0.5044,40,Random Crop
UNet++,Multi,20200616-153224,0.7652,0.4751,38,Random Crop
UNet++,Multi,20200616-222253,0.7682,0.4748,40,Random Crop
DeepLabv3,Multi,,0.2705,0.0336,,Random Crop
DeepLabv3,Binary,,0.3559,0.0807,73,Random Crop
DeepLabv3,Multi,,0.4017,0.0666,,None
DeepLabv3,Binary,,0.4388,0.098,,None
VNet-Slice,Binary,20200618/222700,0.7537,0.6118,146,"Random Crop, Shift, Flip"
VNet-Slice,Binary,20200619/024650,0.7542,0.6137,105,None
VNet,Binary,20200619/070221,0.8087,0.6798,140,"Random Crop, Shift, Flip"
VNet,Binary,20200618/014738,0.8001,0.6682,148,"Random Crop, Shift, Flip"
VNet,Binary,20200619/105333,0.8332,0.7149,49,None
Att UNet,Multi,,0.8369,0.5346,38,Random Crop
